x_km,bathy,topo
16.9,-855.460930739786,-601.561809658191
17,-854.60958300651,-606.304755702343
17.1,-853.758235273234,-611.047701746495
17.2,-852.906887539959,-615.790647790646
17.3,-852.055539806683,-617.792327611605
17.4,-851.204192073407,-611.848061486614
17.5,-850.352844340132,-605.903795361624
17.6,-849.501496606856,-600.502257851659
17.7,-848.65014887358,-605.772967459719
17.8,-847.733759391727,-610.662573072208
17.9,-845.381217521114,-607.137223281797
18,-843.028675650501,-603.611873491386
18.1,-840.676133779888,-605.586686083683
18.2,-838.323591909274,-610.692469578022
18.3,-835.971050038661,-615.798253072361
18.4,-833.618508168048,-620.9040365667
18.5,-831.265966297434,-626.009820061039
18.6,-829.439950075008,-631.115603555378
18.7,-827.725553690164,-635.966207171038
18.8,-826.011157305321,-639.917507869324
18.9,-824.296760920478,-643.86880856761
19,-822.582364535635,-647.820109265896
19.1,-820.867968150792,-651.771409964182
19.2,-819.151628462433,-656.647520399672
19.3,-817.190022565083,-662.860664943282
19.4,-815.228416667734,-669.073809486893
19.5,-813.266810770385,-675.286954030504
19.6,-811.305204873035,-681.500098574114
19.7,-809.343598975686,-687.713243117725
19.8,-807.381993078337,-678.847694510329
19.9,-805.420387180987,-666.086482351523
20,-803.458781283638,-658.08941471592
20.1,-801.497175386289,-657.587710343734
20.2,-799.535569488939,-657.086005971548
20.3,-797.422457235394,-656.584301599362
20.4,-794.621488807212,-656.082597227176
20.5,-791.82052037903,-655.58089285499
20.6,-789.019551950848,-655.079188482804
20.7,-786.218583522666,-646.660871480157
20.8,-783.417615094484,-638.017814403363
20.9,-780.616646666302,-629.374757326568
21,-778.511146072731,-620.731700249775
21.1,-777.624614101862,-616.397104348912
21.2,-776.738082130992,-615.430608201692
21.3,-775.851550160123,-614.464112054473
21.4,-774.965018189253,-613.497615907254
21.5,-774.078486218384,-611.702924955932
21.6,-773.191954247514,-605.218900640581
21.7,-772.305422276645,-598.734876325229
21.8,-771.418890305775,-592.250852009878
21.9,-770.532358334906,-585.766827694527
22,-769.645826364036,-583.915149863152
22.1,-768.759294393167,-583.699896109534
22.2,-767.846144243068,-583.484642355917
22.3,-766.87964809585,-583.269388602299
22.4,-765.913151948631,-583.054134848681
22.5,-764.946655801412,-582.838881095063
22.6,-763.980159654193,-582.623627341446
22.7,-763.013663506974,-582.408373587828
22.8,-762.047167359756,-582.19311983421
22.9,-761.080671212537,-581.977866080593
23,-760.114175065318,-581.762612326975
23.1,-758.821051764163,-581.547358573357
23.2,-757.214842206146,-581.332104819739
23.3,-755.60863264813,-581.116851066122
23.4,-754.002423090113,-580.901597312504
23.5,-752.396213532096,-575.178061021423
23.6,-750.79000397408,-563.95615925735
23.7,-749.183794416063,-552.734257493277
23.8,-747.577584858047,-545.408141359952
23.9,-745.97137530003,-547.512269584563
24,-744.365165742013,-549.616397809173
24.1,-742.758956183997,-551.720526033784
24.2,-741.15274662598,-551.65673992982
24.3,-739.546537067964,-546.078976279772
24.4,-737.997578383797,-540.501212629724
24.5,-736.597942948017,-534.923448979677
